reduction,wavelength_min_micron,wavelength_max_micron,n_wavelength_bins,aggregation_rule,error_rule,offset_deg,formal_error_deg,semi_amplitude_ppm,chi_square,dof
eureka_v1,6.25,8.75,6,trapezoid,mean,-8.553188428527719,0.612543744224741,2125.6757560890906,59.67584387022001,1
eureka_v1,6.25,8.75,6,trapezoid,maximum,-8.5359250984284,0.6227523724242969,2126.5868685690234,57.64514226973631,1
eureka_v1,6.25,8.75,6,uniform,mean,-8.682308094898216,0.580591343919834,2125.193874070996,61.792577733767985,1
eureka_v1,6.25,8.75,6,uniform,maximum,-8.66154996433332,0.5917370303231086,2126.712751620928,59.41901523287463,1
eureka_v1,6.25,8.75,6,inverse_variance,mean,-8.321449533985133,0.5571548030358708,2130.4462789416316,77.36237980468061,1
eureka_v1,6.25,8.75,6,inverse_variance,maximum,-8.079397667257693,0.5704474472095402,2129.889183039663,69.25677640325111,1
eureka_v1,6.25,9.25,7,trapezoid,mean,-8.81168329254983,0.572017393928121,2148.852679928903,71.47960640396423,1
eureka_v1,6.25,9.25,7,trapezoid,maximum,-8.789988665013642,0.5825737040807857,2150.4641168777894,68.83014990379188,1
eureka_v1,6.25,9.25,7,uniform,mean,-8.784920438845813,0.5579375560433011,2169.921407279804,82.14797696415071,1
eureka_v1,6.25,9.25,7,uniform,maximum,-8.750609506743485,0.5699776714253346,2172.465658995372,78.4808210636514,1
eureka_v1,6.25,9.25,7,inverse_variance,mean,-8.506686688853408,0.5296947965919334,2152.0954208862277,93.06541692902583,1
eureka_v1,6.25,9.25,7,inverse_variance,maximum,-8.276993623892267,0.5418262450448945,2154.0207753612904,83.11981176910083,1
eureka_v1,6.25,9.75,8,trapezoid,mean,-9.066964319543459,0.5474555330170867,2191.4743298999156,89.59382577547733,1
eureka_v1,6.25,9.75,8,trapezoid,maximum,-9.036776574291816,0.5580120860306756,2193.9058907777535,85.91476612910802,1
eureka_v1,6.25,9.75,8,uniform,mean,-9.235435905271688,0.5238654725781116,2203.9468332615397,99.94560652268937,1
eureka_v1,6.25,9.75,8,uniform,maximum,-9.209177950052672,0.5332375931658815,2206.5389328975516,95.93749637612058,1
eureka_v1,6.25,9.75,8,inverse_variance,mean,-8.597475931386807,0.506869476651163,2143.126045238155,90.41040245129139,1
eureka_v1,6.25,9.75,8,inverse_variance,maximum,-8.33188000332691,0.5186417500366094,2143.2148583593553,80.71849404447869,1
eureka_v1,6.25,10.25,9,trapezoid,mean,-9.50746636084893,0.5227540346126913,2212.4948186419197,103.28509310221003,1
eureka_v1,6.25,10.25,9,trapezoid,maximum,-9.482520126475258,0.5319126794865383,2214.8827600392415,99.48854423216221,1
eureka_v1,6.25,10.25,9,uniform,mean,-9.63098533508746,0.5190299138417114,2211.825142947442,105.80373381201224,1
eureka_v1,6.25,10.25,9,uniform,maximum,-9.601006482946609,0.5273110805695911,2214.174802398545,101.99912890055143,1
eureka_v1,6.25,10.25,9,inverse_variance,mean,-8.723949025257872,0.49493580251962577,2135.7354560944186,91.07993539826319,1
eureka_v1,6.25,10.25,9,inverse_variance,maximum,-8.476065592894109,0.5065845842156116,2135.1006851650022,81.54527795895841,1
